,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
715,Victor Frankenstein,Paul McGuigan,2015,6.0,37975,5.77,"['Twentieth Century Fox Film Corporation', 'Davis Entertainment', 'Moving Picture Company (MPC)', 'TSG Entertainment']",,
716,Texas Chainsaw 3D,John Luessenhop,2013,4.8,37060,34.33,"['Nu Image Films', 'Lions Gate']",,
717,The Founder,John Lee Hancock,2016,7.2,37033,12.79,"['Weinstein Company, The', 'FilmNation Entertainment', 'Faliro House Productions', 'The Combine', 'Speedie Distribution']",,
718,Pete's Dragon,David Lowery,2016,6.8,36322,76.2,['Walt Disney Productions'],,
719,Everybody Wants Some!!,Richard Linklater,2016,7.0,36312,3.37,['Annapurna Pictures'],,
720,Solace,Afonso Poyart,2015,6.4,36300,,"['New Line Cinema', 'Eden Rock Media', 'Grindstone Entertainment Group', 'FilmNation Entertainment', 'Silver Reel', 'Venture Forth', 'Flynn Picture Company', 'Lionsgate Premiere', 'Supersensory']",,
721,Whiskey Tango Foxtrot,Glenn Ficarra,2016,6.6,36156,,"['Paramount Pictures', 'Broadway Video', 'Little Stranger']",,
722,Stake Land,Jim Mickle,2010,6.5,36091,0.02,"['Glass Eye Pix', 'Belladonna Productions', 'Off Hollywood Pictures']",,
723,Trust,David Schwimmer,2010,7.0,36043,0.06,"['Nu Image Films', 'Millennium Films', 'Dark Harbor Stories']",,
724,The Autopsy of Jane Doe,André Øvredal,2016,6.8,35870,,"['IM Global', 'Impostor Pictures', '42']",,
725,Elle,Paul Verhoeven,2016,7.2,35417,,"['France 2 Cinéma', 'Filmförderungsanstalt (FFA)', 'Canal+', 'SBS Productions', 'Orange Cinéma Séries', 'France Télévisions', 'Casa Kafka Pictures', 'Entre Chien et Loup', 'Centre National de la Cinématographie (CNC)', 'Twenty Twenty Vision Filmproduktion GmbH', 'Casa Kafka Pictures Movie Tax Shelter Empowered by Belfius', 'Proximus']",,
726,Pride and Prejudice and Zombies,Burr Steers,2016,5.8,35003,10.91,"['Lionsgate', 'Handsomecharlie Films', 'Cross Creek Pictures', 'Darko Entertainment', 'Panorama Media', 'QC Entertainment']",,
727,Tusk,Kevin Smith,2014,5.4,34546,1.82,[],,
728,Ice Age: Collision Course,Mike Thurmeier,2016,5.7,34523,64.06,"['Blue Sky Studios', 'Twentieth Century Fox Animation']",,
729,Storks,Nicholas Stoller,2016,6.9,34248,72.66,"['Warner Bros. Animation', 'Warner Bros.', 'Warner Animation Group', 'RatPac-Dune Entertainment']",,
730,Diary of a Wimpy Kid,Thor Freudenthal,2010,6.2,34184,64.0,"['Dune Entertainment', 'Color Force', 'Dayday Films']",,
731,Endless Love,Shana Feste,2014,6.3,33688,23.39,"['Universal Pictures', 'Fake Empire', 'Bluegrass Films']",,
732,Mommy,Xavier Dolan,2014,8.1,33560,3.49,"['Téléfilm Canada', 'Super Écran', 'SODEC', 'Metafilms']",,
733,The Dressmaker,Jocelyn Moorhouse,2015,7.1,33352,2.02,"['Screen Australia', 'Film Art Media', 'White Hot Productions', 'Ingenious Senior Film Fund', 'Embankment Films']",,
734,Notorious,George Tillman Jr.,2009,6.7,33007,36.84,['RKO Radio Pictures'],,
735,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,2014,6.2,32310,66.95,"['Walt Disney Pictures', '21 Laps Entertainment', 'Jim Henson Company, The']",,
736,Keanu,Peter Atencio,2016,6.3,31913,20.57,['New Line Cinema'],,
737,Florence Foster Jenkins,Stephen Frears,2016,6.9,31776,27.37,"['BBC Films', 'Qwerty Films', 'Pathé']",,
738,Scouts Guide to the Zombie Apocalypse,Christopher Landon,2015,6.3,31651,3.64,"['Paramount Pictures', 'Oops Doughnuts Productions', 'Broken Road Productions', 'Brucks Entertainment']",,
739,Dark Places,Gilles Paquet-Brenner,2015,6.2,31634,,"['Denver and Delilah Productions', 'Mandalay Vision', 'Exclusive Media Group', 'Hugo Productions', 'Cuatro Plus Films', 'Da Vinci Media Ventures', 'A24', 'Daryl Prince Productions']",,
740,Before We Go,Chris Evans,2014,6.9,31370,0.04,"['Wonderland Sound and Vision', 'G4 Productions', 'Nutmeg Film Productions']",,
741,The Gunman,Pierre Morel,2015,5.8,31194,10.64,"['StudioCanal', 'Silver Pictures', 'TF1 Films Production', 'Canal+', 'Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)', 'Nostromo Pictures', 'Anton Capital Entertainment (ACE)', 'Institut Català de les Empreses Culturals (ICEC)', 'Prone Gunman', 'Amazon Prime Instant Video', 'Prone Gunman A.I.E.']",,
742,The Ridiculous 6,Frank Coraci,2015,4.8,31149,,['Happy Madison Productions'],,
743,Popstar: Never Stop Never Stopping,Akiva Schaffer,2016,6.7,30875,9.39,"['Universal Pictures', 'Apatow Productions', 'Party Over', 'Lonely Island, The']",,
744,Office Christmas Party,Josh Gordon,2016,5.8,30761,54.73,"['Paramount Pictures', 'DreamWorks SKG', 'DreamWorks Pictures', 'Bluegrass Films']",,
745,Keeping Up with the Joneses,Greg Mottola,2016,5.8,30405,14.9,"['Fox 2000 Pictures', 'Parkes+MacDonald Image Nation']",,
746,The Boy Next Door,Rob Cohen,2015,4.6,30180,35.39,"['TF1 International', 'Reel One Entertainment']",,
747,Colonia,Florian Gallenberger,2015,7.1,30074,,"['Majestic Filmproduktion', 'Rat Pack Filmproduktion', 'Iris productions', 'Fred Films']",,
748,Mr. Right,Paco Cabezas,2015,6.3,30053,0.03,"['Amasia Entertainment', '3311 Productions', 'Circle of Confusion']",,
749,Ouija: Origin of Evil,Mike Flanagan,2016,6.1,30035,34.9,"['Universal Pictures', 'Platinum Dunes', 'Hasbro', 'Blumhouse Productions', 'Allspark Pictures']",,
750,The Man Who Knew Infinity,Matt Brown,2015,7.2,29912,3.86,"['Animus Films', 'Edward R. Pressman Film', 'Kreo Films FZ', 'Xeitgeist Entertainment Group', 'American Entertainment Investors']",,
751,Free State of Jones,Gary Ross,2016,6.9,29895,,"['Larger Than Life Productions', 'Vendian Entertainment', 'Route One Films']",,
752,The Boss,Ben Falcone,2016,5.4,29642,63.03,[],,
753,Ben-Hur,Timur Bekmambetov,2016,5.7,28326,26.38,['Metro-Goldwyn-Mayer (MGM)'],1960,
754,Live by Night,Ben Affleck,2016,6.4,27869,10.38,"['Appian Way', 'Warner Bros.', 'Pearl Street Films']",,
755,Sleeping with Other People,Leslye Headland,2015,6.5,27730,0.81,"['Sidney Kimmel Entertainment', 'Gary Sanchez Productions', 'IM Global']",,
756,Secret in Their Eyes,Billy Ray,2015,6.2,27585,,,,
757,Imperium,Daniel Ragussis,2016,6.5,27428,,"['Grindstone Entertainment Group', 'Tycor International Film Company', 'Sculptor Media', 'Green-Light International', 'Atomic Features']",,
758,The Light Between Oceans,Derek Cianfrance,2016,7.2,27382,12.53,"['DreamWorks SKG', 'Heyday Films']",,
759,Annie,Will Gluck,2014,5.3,27312,85.91,"['Columbia Pictures', 'Rastar Pictures']",,
760,Spectral,Nic Mathieu,2016,6.3,27042,,"['Mid Atlantic Films', 'NetFlix', 'Legendary Entertainment']",,
761,Sleeping Beauty,Julia Leigh,2011,5.3,27006,0.03,[],,
762,Absolutely Anything,Terry Jones,2015,6.0,26587,,"['Phoenix Pictures', 'Bill and Ben Productions']",,
763,A Hologram for the King,Tom Tykwer,2016,6.1,26521,4.2,"['X-Filme Creative Pool', 'Kasbah-Film Tanger', 'Playtone', '22h22', 'Fábrica de Cine', 'Primeridian Entertainment']",,
764,Masterminds,Jared Hess,2016,5.8,26508,17.36,"['Broadway Video', 'Relativity Media', 'Surefire Entertainment Capital', 'Michaels-Goldwyn']",,
765,The Green Inferno,Eli Roth,2013,5.4,26461,7.19,"['Worldview Entertainment', 'Dragonfly Entertainment', 'Sobras International Pictures', 'Top Hat Releasing', 'BH Tilt']",,
766,Regression,Alejandro Amenábar,2015,5.7,26320,0.05,"['The Weinstein Company', 'Himenóptero', 'First Generation Films', 'Mod Producciones', 'FilmNation Entertainment', 'Telefónica Studios']",,
767,Paterson,Jim Jarmusch,2016,7.5,26089,2.14,"['Amazon Studios', 'K5 Film', 'Animal Kingdom', 'Inkjet Productions']",,
768,Blair Witch,Adam Wingard,2016,5.1,26088,20.75,"['Vertigo Entertainment', 'Lionsgate', 'Room 101', 'Snoot Entertainment', 'Hurwitz Creative']",,
769,High-Rise,Ben Wheatley,2015,5.7,25928,0.34,"['Ingenious Media', 'HanWay Films', 'Scope Pictures', 'Recorded Picture Company (RPC)', 'Northern Ireland Screen']",,
770,We Are Your Friends,Max Joseph,2015,6.2,25903,3.59,['Working Title Films'],,
771,Adoration,Anne Fontaine,2013,6.2,25208,0.32,['Serendipity Point Films'],,
772,The Do-Over,Steven Brill,2016,5.7,24761,0.54,"['Happy Madison Productions', 'Netflix', 'Instinctual VFX']",,
773,Toni Erdmann,Maren Ade,2016,7.6,24387,1.48,"['Sony Pictures Classics', 'Arte', 'Komplizen Film', 'Westdeutscher Rundfunk (WDR)', 'Südwestrundfunk (SWR)', 'Coop99 Filmproduktion', 'KNM', 'MonkeyBoy', 'HiFilm']",,
774,Anthropoid,Sean Ellis,2016,7.2,24100,2.96,"['LD Entertainment', '22h22', 'Lucky Man Films']",,
775,Love,Gaspar Noé,2015,6.0,24003,,['Metro-Goldwyn-Mayer (MGM)'],,
776,The Girl with All the Gifts,Colm McCarthy,2016,6.7,23713,,"['BFI Film Fund', 'Altitude Film Entertainment', 'Poison Chef', 'Altitude Film Sales']",,
777,Dear Zindagi,Gauri Shinde,2016,7.8,23540,1.4,"['Red Chillies Entertainment', 'Dharma Productions', 'Hope Productions']",,
778,"I, Daniel Blake",Ken Loach,2016,7.9,22941,,"['Why Not Productions', 'Wild Bunch', 'Les Films Du Fleuve', 'BFI', 'BBC', 'Sixteen Films']",,
779,Morgan,Luke Scott,2016,5.8,22107,3.91,[],,
780,Dear White People,Justin Simien,2014,6.2,21715,4.4,"['Homegrown Pictures', 'Duly Noted']",,
781,Max,Boaz Yakin,2015,6.8,21405,42.65,"['Sunswept Entertainment', 'Warner Bros.', 'Metro-Goldwyn-Mayer (MGM)', 'Reel Chefs Catering']",,
782,Bastille Day,James Watkins,2016,6.3,21089,0.04,"['StudioCanal', 'TF1 Films Production', 'Canal+', 'Vendome Pictures', 'Anonymous Content', 'Anton Capital Entertainment (ACE)', 'Amazon Prime Instant Video']",,
783,My Big Fat Greek Wedding 2,Kirk Jones,2016,6.0,20966,59.57,"['Universal Pictures', 'Playtone', 'HBO Films', 'Gold Circle Films']",,
784,The Stanford Prison Experiment,Kyle Patrick Alvarez,2015,6.9,20907,0.64,,,
785,The Choice,Ross Katz,2016,6.6,20514,18.71,"['Lionsgate', 'Nicholas Sparks Productions']",,
786,Mother's Day,Garry Marshall,2016,5.6,20221,32.46,"['Troma Entertainment', 'Rat Entertainment', 'The Genre Co.', 'LightTower Entertainment', 'Widget Films', 'Sierra/Affinity']",,
787,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,2011,6.6,20194,52.69,"['Fox 2000 Pictures', 'Color Force']",,
788,American Honey,Andrea Arnold,2016,7.0,19660,0.66,"['British Film Institute (BFI)', 'Film4', 'Maven Pictures']",,
789,10 Years,Jamie Linden,2011,6.1,19636,0.2,"['Anchor Bay Films', 'Temple Hill Entertainment', 'Boss Media', '33andOut Productions', 'Iron Horse Entertainment (II)']",,
790,The Girl Next Door,Gregory Wilson,2007,6.7,19351,,"['Modernciné', 'Modern Girl Productions']",,
791,Turbo Kid,François Simard,2015,6.7,19309,0.05,"['Epic Pictures Group', 'Timpson Films', 'EMA Films']",,
792,Gold,Stephen Gaghan,2016,6.7,19053,7.22,['Universum Film (UFA)'],,
793,Closed Circuit,John Crowley,2013,6.2,18437,5.73,[],,
794,Before I Wake,Mike Flanagan,2016,6.1,18201,,"['Intrepid Pictures', 'Relativity Media', 'Demarest Films', 'MICA Entertainment']",,
795,Miss Sloane,John Madden,2016,7.3,17818,3.44,"['France 2 Cinéma', 'Canal+', 'FilmNation Entertainment', 'Ciné+', 'Transfilm', 'France Télévisions Distribution', 'Archery Pictures']",,
796,Knight of Cups,Terrence Malick,2015,5.7,17439,0.56,"['Waypoint Entertainment', 'Dogwood Films']",,
797,Loving,Jeff Nichols,2016,7.1,17141,7.7,"['Columbia Pictures Corporation', 'Brooks Ltd.']",,
798,Diary of a Wimpy Kid: Dog Days,David Bowers,2012,6.4,16917,49.0,['Fox 2000 Pictures'],,
799,Equals,Drake Doremus,2015,6.1,16361,0.03,"['Scott Free Productions', 'Infinite Frameworks Studios', 'Freedom Media', 'A24', 'Route One Entertainment']",,
800,Love & Friendship,Whit Stillman,2016,6.5,16164,14.01,"['Blinder Films', 'Chic Films', 'Amazon Studios', 'Westerly Films', 'Revolver Amsterdam']",,
801,Mr. Church,Bruce Beresford,2016,7.7,16163,0.69,"['Envision Media Arts', 'Cinelou Films', 'Shenghua Entertainment']",,
802,Devil's Knot,Atom Egoyan,2013,6.1,15514,,['Worldview Entertainment'],,
803,A Bigger Splash,Luca Guadagnino,2015,6.4,15232,1.98,"['StudioCanal', 'Ministero per i Beni e le Attività Culturali (MiBAC)', 'Frenesy Film Company', 'Sensi Contemporanei Cinema e Audiovisivo', 'Cota Film', 'Regione Siciliana', 'Sicilia Film Commission']",,
804,20th Century Women,Mike Mills,2016,7.4,14708,5.66,"['Annapurna Pictures', 'Archer Gray', 'Modern People']",,
805,The Siege of Jadotville,Richie Smyth,2016,7.3,14689,,"['Parallel Films', 'Irish Film Board']",,
806,Clown,Jon Watts,2014,5.7,14248,0.05,"['Zed Filmworks', 'Cross Creek Pictures', 'Vertebra Films', 'PS 260']",,
807,Suite Française,Saul Dibb,2014,6.9,13711,,"['Qwerty Films', 'Alliance Films', 'Canal+', 'TF1 Droits Audiovisuels', 'Scope Pictures']",,
808,Brimstone,Martin Koolhoven,2016,7.1,13004,,"['X-Filme Creative Pool', 'Film i Väst', 'Prime Time', 'Illusion Film & Television', 'Backup Media', 'N279 Entertainment', 'FilmWave']",,
809,Friend Request,Simon Verhoeven,2016,5.4,12758,64.03,"['Wiedemann & Berg Filmproduktion', 'Seven Pictures', 'Two Oceans Production (TOP)']",,
810,A Street Cat Named Bob,Roger Spottiswoode,2016,7.4,12643,0.04,"['Prescience', 'Iris productions', 'Shooting Script Films']",,
811,Nine Lives,Barry Sonnenfeld,2016,5.3,12435,19.64,['Nordsjøfilm'],,
812,"Hello, My Name Is Doris",Michael Showalter,2015,6.7,12361,14.44,"['Red Crown Productions', 'Haven Entertainment']",,
813,A Cure for Wellness,Gore Verbinski,2016,6.5,12193,8.1,"['Studio Babelsberg', 'Regency Enterprises', 'Twentieth Century Fox', 'New Regency Pictures', 'TSG Entertainment', 'Blind Wink Productions']",,
814,Miracles from Heaven,Patricia Riggen,2016,7.0,12048,61.69,"['TriStar Pictures', 'Sony Pictures Entertainment']",,
815,Billy Lynn's Long Halftime Walk,Ang Lee,2016,6.3,11944,1.72,"['TriStar Pictures', 'Marc Platt Productions', 'Film4', 'The Ink Factory', 'Bona Film Group', 'TriStar Productions', 'studio 8']",,2
816,Bleed for This,Ben Younger,2016,6.8,11900,4.85,"['Younger Than You', 'Sikelia Productions', 'Verdi Productions', 'Bruce Cohen Productions']",,
817,Max Steel,Stewart Hendler,2016,4.6,11555,3.77,"['Ingenious Media', 'Mattel Entertainment', 'Dolphin Entertainment']",,
818,31,Rob Zombie,2016,5.1,10871,0.78,"['Spectacle Entertainment Group', 'Windy Hill Pictures', 'Protagonist Pictures', 'Bow and Arrow Entertainment', 'PalmStar Media']",,
819,Genius,Michael Grandage,2016,6.5,10708,1.36,"['Desert Wolf Productions', 'Michael Grandage Company', 'Pinewood Pictures', 'Riverstone Pictures']",,
820,The Whole Truth,Courtney Hunt,2016,6.1,10700,,"['Atlas Entertainment', 'Likely Story', 'LionsGate', 'Merced Media Partners', 'PalmStar Media']",,
821,It's Only the End of the World,Xavier Dolan,2016,7.0,10658,,"['Téléfilm Canada', 'MK2 Productions', 'Sons of Manual']",,
822,Don't Think Twice,Mike Birbiglia,2016,6.8,10485,4.42,"['Cold Iron Pictures', 'The Film Arcade']",,
823,Boyka: Undisputed IV,Todor Chapkanov,2016,7.4,10428,,['Nu Boyana Viburno'],,
824,Into the Forest,Patricia Rozema,2015,5.9,10220,0.01,"['Rhombus Media', 'Bron Studios', 'A24']",,
825,Personal Shopper,Olivier Assayas,2016,6.3,10181,1.29,"['ARTE France Cinéma', 'Sirena Film', 'Scope Pictures', 'Poisson Rouge Pictures', 'Detailfilm', 'CG Cinéma', 'Vortex Sutra']",,
826,Barbershop: The Next Cut,Malcolm D. Lee,2016,5.9,9993,54.01,"['New Line Cinema', 'Cube Vision', 'MGM']",,
827,War on Everyone,John Michael McDonagh,2016,5.9,9285,,"['Head Gear Films', 'Reprisal Films', 'Metrol Technology', 'Kreo Films FZ', 'Reel Chefs Catering']",,
828,The Void,Jeremy Gillespie,2016,5.8,9247,0.15,"['120dB Films', 'XYZ Films', 'JoBro Productions & Film Finance', 'Cave Painting Pictures', 'The Salt Company']",,
829,The Survivalist,Stephen Fingleton,2015,6.3,9187,,"['K5 International', 'British Film Institute (BFI)', 'Northern Ireland Screen', 'The Fyzz Facility', 'Fyzz Facility Film One, The', 'Goldcrest']",,
830,Final Girl,Tyler Shields,2015,4.7,9026,,"['NGN Productions', 'Prospect Park', 'Final Girl Productions']",,
831,Hands of Stone,Jonathan Jakubowicz,2016,6.6,8998,4.71,"['Weinstein Company, The', 'La Piedra Films', 'Fuego Films', 'Epicentral Studios']",,
832,The Babysitters,David Ross,2007,5.7,8914,0.04,"['Forensic Films', 'Upload Films', 'O.D.D. Entertainment', 'Rebel Films']",,
833,I.T.,John Moore,2016,5.4,8755,,"['Irish Dreamtime', 'Fastnet Films', 'Canal+', 'Voltage Pictures', 'Ciné+', '22h22', 'Mutressa Movies', 'Friendly Films']",,
834,Colossal,Nacho Vigalondo,2016,6.4,8612,2.87,"['Brightlight Pictures', 'Sayaka Producciones Audiovisuales', 'Route One Entertainment', 'Toy Fight Productions', 'Neon']",,
835,Exposed,Gee Malik Linton,2016,4.2,8409,,['Olympic Film'],,
836,Pet,Carles Torrens,2016,5.7,8404,,"['Revolver Picture Company', 'Magic Lantern']",,
837,Denial,Mick Jackson,2016,6.6,8229,4.07,"['BBC Films', 'Participant Media', 'Krasnoff Foster Productions', 'Shoebox Films']",,
838,Collide,Eran Creevy,2016,5.7,7583,2.2,"['Silver Pictures', 'Automatik Entertainment', 'DMG Entertainment', 'Hands-on Producers', '42']",,
839,The Sea of Trees,Gus Van Sant,2015,5.9,7475,0.02,"['Roadside Attractions', 'LionsGate', 'Waypoint Entertainment', 'Bloom', 'Netter Productions', 'A24']",,
840,Indignation,James Schamus,2016,6.9,7402,3.4,['Likely Story'],,
841,The Lost City of Z,James Gray,2016,7.1,7188,8.01,"['Plan B Entertainment', 'Northern Ireland Screen', 'Sierra / Affinity', 'MICA Entertainment', 'MadRiver Pictures', 'Keep Your Head']",,
842,The Escort,Will Slocombe,2016,6.0,7181,,"['Skyhook Productions', 'Cloverhill Pictures', 'Perspective Productions']",,
843,American Pastoral,Ewan McGregor,2016,6.1,7115,,"['Lions Gate Films', 'Lakeshore Entertainment', 'TIK Films']",,
844,Yoga Hosers,Kevin Smith,2016,4.3,7091,,"['Invincible Pictures Corp.', 'Abbolita Productions', 'Destro Films']",,
845,Monster Trucks,Chris Wedge,2016,5.7,7044,33.04,"['Paramount Pictures', 'Nickelodeon Movies', 'Disruption Entertainment', 'Paramount Animation']",,
846,Free Fire,Ben Wheatley,2016,7.0,6946,1.8,"['Film4', 'Rook Films', 'Protagonist Pictures', 'A24']",,
847,Kickboxer: Vengeance,John Stockwell,2016,4.9,6809,131.56,"['Radar Pictures', 'Headmon Entertainment & Productions']",,
848,Queen of Katwe,Mira Nair,2016,7.4,6753,8.81,"['Walt Disney Pictures', 'Walt Disney Productions', 'ESPN films']",,
849,The 9th Life of Louis Drax,Alexandre Aja,2016,6.3,6175,,"['Brightlight Pictures', 'Fire Axe Pictures', 'Blank Tape']",,
850,Mine,Fabio Guaglione,2016,6.0,5926,,[],,
851,The Hollars,John Krasinski,2016,6.5,5908,1.02,"['Groundswell Productions', 'Sycamore Pictures', 'Sunday Night']",,
852,Christine,Antonio Campos,2016,7.0,5855,0.3,"['BorderLine Films', 'Great Point Media', 'Fresh Jade']",,
853,Shut In,Farren Blackburn,2016,4.6,5715,6.88,"['Canal+', 'EuropaCorp', 'Ciné+', 'Lava Bear Films', 'Transfilm International']",,
854,Fallen,Scott Hicks,2016,5.6,5103,,"['Atlas Entertainment', 'Turner Pictures (I)']",,
855,USS Indianapolis: Men of Courage,Mario Van Peebles,2016,5.2,4964,,"['Saturn Films', 'Patriot Pictures', 'Hannibal Pictures', 'MVP Films', 'USS Indianapolis Production', 'Union Patriot Capital Management']",,
856,Zipper,Mora Stephens,2015,5.7,4912,,"['Protozoa Pictures', 'Cargo Entertainment', '33 Pictures']",,
857,The Disappointments Room,D.J. Caruso,2016,3.9,4895,2.41,['Relativity Media'],,
858,Search Party,Scot Armstrong,2014,5.6,4881,,['Universal Studios'],,
859,Man Down,Dito Montiel,2015,5.8,4779,,"['Wild Bunch', 'Mpower Pictures', 'Krannel Pictures', 'binary light']",,
860,A United Kingdom,Amma Asante,2016,6.8,4771,3.9,['Pathé'],,
861,The Neighbor,Marcus Dunstan,2016,5.8,4754,,"['Allegro Films', 'Image Organization', 'Westwind']",,
862,Ballerina,Eric Summer,2016,6.8,4729,,[],,
863,The Love Witch,Anna Biller,2016,6.2,4669,0.22,['Anna Biller Productions'],,
864,The Thinning,Michael J. Gallagher,2016,6.0,4531,,"['Legendary Digital Media', 'Kids At Play', 'YouTube Red', 'Cinemand']",,
865,Frantz,François Ozon,2016,7.5,4304,0.86,"['X-Filme Creative Pool', 'Mars Distribution', 'Mandarin Cinéma']",,
866,White Girl,Elizabeth Wood,2016,5.8,4299,0.2,"['Killer Films', 'Greencard Pictures', 'Bank Street Films', 'Supermarché']",,
867,I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4.7,4204,,"['Zed Filmworks', 'Paris Film', 'Eggplant Pictures', 'Go Insane Films']",,
868,The Blackcoat's Daughter,Oz Perkins,2015,5.6,4155,0.02,"['Zed Filmworks', 'Paris Film', 'Traveling Picture Show Company (TPSC)', 'Unbroken Pictures']",,
869,King Cobra,Justin Kelly,2016,5.6,3990,0.03,"['RabbitBandini Productions', 'SSS Entertainment', 'Yale Productions', 'BondIt', 'Digital Ignition Entertainment']",,
870,Good Kids,Chris McCoy,2016,6.1,3843,,"['Depth of Field', 'Voltage Pictures', 'Compadre Entertainment']",,
871,Hacker,Akan Satayev,2016,6.3,3799,,"['Brillstein Entertainment Partners', 'Sataifilm', 'Know Rules Media']",,
872,Their Finest,Lone Scherfig,2016,7.0,3739,3.18,"['BBC Films', 'HanWay Films', 'Film i Väst', 'Number 9 Films', 'Filmgate Films', 'Ripken Productions', 'Pinewood Pictures', 'Wildgaze']",,
873,Rules Don't Apply,Warren Beatty,2016,5.7,3731,3.65,"['Shangri-La Entertainment', 'New Regency Pictures', 'Demarest Films', 'Tatira', 'RatPac Entertainment', 'World View Entertainment', 'Considered Entertainment', 'Robson Orr Entertainment', 'Fiore Group', 'Windsor Media']",,1
874,The Belko Experiment,Greg McLean,2016,6.3,3712,10.16,"['Orion Pictures', 'Blumhouse Productions', 'Metro-Goldwyn-Mayer (MGM)', 'The Safran Company', 'Itaca Films', 'BH Tilt', 'Troll Court Entertainment']",,
875,Viral,Henry Joost,2016,5.5,3564,,"['Blumhouse Productions', 'Dimension Films', 'IM Global Octane', 'Chapter One Films', 'Busted Shark Productions']",,
876,A Kind of Murder,Andy Goddard,2016,5.2,3305,0.0,['Killer Films'],,
877,The Daughter,Simon Stone,2015,6.7,2798,0.03,['Screen NSW'],,
878,Mindhorn,Sean Foley,2016,6.4,2490,,"['BBC Films', 'StudioCanal', 'Scott Free Productions', 'Isle of Man Film', 'Baby Cow Films', 'Pinewood Pictures']",,
879,Kicks,Justin Tipping,2016,6.1,2417,0.15,"['Bystorm Films', 'Animal Kingdom', 'Bow and Arrow Entertainment']",,
880,The Age of Shadows,Jee-woon Kim,2016,7.2,2403,0.54,"['Warner Bros.', 'Grimm Pictures', 'Harbin']",,
881,Satanic,Jeffrey G. Hunt,2016,3.7,2384,,"['Marvista Entertainment', 'Circle of Confusion']",,
882,Rupture,Steven Shainberg,2016,4.8,2382,,"['Splendid Film', 'Ambi Pictures', 'Tango Pictures', 'BondIt']",,
883,Amateur Night,Lisa Addario,2016,5.0,2229,,"['Defining', 'Punch Media']",,
884,Detour,Christopher Smith,2016,6.3,2205,,['Producers Releasing Corporation'],,
885,Beyond the Gates,Jackson Stewart,2016,5.2,2127,,"['Easy Open Productions', 'Thunder Warrior Productions', 'Lodger Films', 'Destroy All Entertainment']",,
886,Lavender,Ed Gass-Donnelly,2016,5.2,2083,,"['South Creek Pictures', '3 Legged Dog Films']",,
887,The Assignment,Walter Hill,2016,4.5,2043,,"['The Movie Network (TMN)', 'Allegro Films', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Super Écran', 'Gouvernement du Québec', 'Triumph Films', 'Satch-Mo', 'Program de Credits of Impuc']",,
888,The Comedian,Taylor Hackford,2016,5.4,1954,1.66,"['Linson Entertainment', 'Anvil Films', 'Cinelou Films']",,
889,Viking,Andrey Kravchuk,2016,4.7,1830,23.05,"['Studio Trite', 'Direktsiya Kino']",,
890,A Dark Song,Liam Gavin,2016,6.1,1703,,"['Samson Films', 'Tall Man Films']",,
891,The Rise of the Krays,Zackary Adler,2015,5.1,1630,6.53,"['Carnaby International', 'Saracen Films', 'Torn Pictures']",,
892,In Dubious Battle,James Franco,2016,6.2,1455,,"['Thats Hollywood', 'RabbitBandini Productions', 'Ambi Pictures']",,
893,The Matchbreaker,Caleb Vetter,2016,5.5,1427,,['Vetter Brothers Filmworks'],,
894,Crawlspace,Phil Claydon,2016,5.3,1427,,['Empire Pictures'],,
895,Lady Macbeth,William Oldroyd,2016,7.3,1396,,"['BBC Films', 'British Film Institute (BFI)', 'Creative England', 'iFeatures', 'Sixty Six Pictures', 'Oldgarth Media']",,
896,Half of a Yellow Sun,Biyi Bandele,2013,6.2,1356,0.05,"['British Film Institute (BFI)', 'Lipsync Productions', 'Slate Films', 'Shareman Media']",,
897,Transpecos,Greg Kwedar,2016,5.8,1292,,"['8750 Films', 'Marfa Peach Company']",,
898,Wrecker,Micheal Bafaro,2015,3.5,1210,,['IW Wrecker Productions'],,
899,Realive,Mateo Gil,2016,5.9,1176,,"['Televisión Española (TVE)', 'Arcadia Motion Pictures', 'Noodles Production', 'Canal+ España', 'Scope Pictures', 'Achaman Films AIE']",,
900,Hounds of Love,Ben Young,2016,6.7,1115,,['Factor 30 Films'],,
901,Rock Dog,Ash Brannon,2016,5.8,1109,9.4,"['Reel FX Creative Studios', 'Dream Factory Group', 'Mandoo Pictures', 'Huayi Tencent Entertainment Company', 'Eracme Entertainment']",,
902,Mean Dreams,Nathan Morlando,2016,6.3,1066,,"['Woods Entertainment', 'JoBro Productions & Film Finance', 'Euclid 431 Pictures']",,
903,Tramps,Adam Leon,2016,6.5,1031,,"['Animal Kingdom', 'Rooks Nest Entertainment']",,
904,A Quiet Passion,Terence Davies,2016,7.2,1024,1.08,"['Indomitable Entertainment', 'Potemkino', 'Hurricane Films']",,
905,All We Had,Katie Holmes,2016,5.8,1004,,"['Mustard & Co', 'Straight Shot Films', 'Jaro/Noelle Production']",,
906,The Ticket,Ido Fluk,2016,5.4,924,,"['BCDF Pictures', 'Cave Pictures', 'Blackbird']",,
907,Iris,Jalil Lespert,2016,6.1,726,,[],,
